model,paired_rows,observed_mean,ci_95_low,ci_95_high,observed_rank,median_bootstrap_rank,rank_95_low,rank_95_high,top_1_rate,top_3_rate,composite_observed,composite_ci_95_low,composite_ci_95_high,composite_observed_rank,composite_median_bootstrap_rank,composite_rank_95_low,composite_rank_95_high,composite_top_1_rate,composite_top_3_rate
hermes-3-llama-3.1-405b,687,3.0119,2.9371,3.0843,1,1.0,1.0,1.0,1.0,1.0,2.7995,2.7222,2.8796,1,1.0,1.0,1.0,1.0,1.0
llama4-maverick-17b-128e-moe,687,2.8218,2.7598,2.8846,2,2.0,2.0,3.0,0.0,0.988,2.5557,2.4975,2.6176,2,2.0,2.0,3.0,0.0,0.999
qwen3.5-397b-a17b-moe,687,2.7725,2.7321,2.812,3,3.0,2.0,5.0,0.0,0.692,2.3978,2.3595,2.4372,5,5.0,5.0,7.0,0.0,0.0
gemma-4-31b-it,687,2.7542,2.6989,2.8079,4,4.0,3.0,7.0,0.0,0.205,2.4566,2.4048,2.5051,4,4.0,3.0,4.0,0.0,0.128
deepseek-v4-flash,687,2.7421,2.7027,2.7825,5,5.0,4.0,7.0,0.0,0.022,2.383,2.3434,2.4245,6,6.0,5.0,8.0,0.0,0.0
llama-3.3-70b-instruct,687,2.7342,2.6665,2.802,6,6.0,3.0,7.0,0.0,0.093,2.4952,2.4335,2.5568,3,3.0,3.0,4.0,0.0,0.873
glm-5.1,687,2.719,2.6714,2.7603,7,7.0,5.0,7.0,0.0,0.0,2.3681,2.3214,2.4108,7,7.0,5.0,8.0,0.0,0.0
command-a-03-2025,687,2.6213,2.5605,2.6833,8,8.0,8.0,10.0,0.0,0.0,2.3452,2.2916,2.406,8,8.0,6.0,8.0,0.0,0.0
qwen3.5-122b-a10b,687,2.614,2.5619,2.6622,9,9.0,8.0,10.0,0.0,0.0,2.2771,2.2333,2.3206,9,9.0,9.0,10.0,0.0,0.0
mistral-medium-3.5,687,2.5826,2.5272,2.6286,10,10.0,9.0,11.0,0.0,0.0,2.237,2.1914,2.2799,11,11.0,10.0,12.0,0.0,0.0
qwen3.6-35b-a3b-q8_0,687,2.5386,2.4866,2.5867,11,11.0,10.98,12.0,0.0,0.0,2.2626,2.2191,2.3092,10,10.0,9.0,11.0,0.0,0.0
qwen3.6-27b-fp8,687,2.5323,2.484,2.58,12,12.0,11.0,12.0,0.0,0.0,2.2252,2.1899,2.2653,12,12.0,11.0,12.0,0.0,0.0
llada2.1-flash,687,2.2025,2.1464,2.258,13,13.0,13.0,13.0,0.0,0.0,2.0532,2.0173,2.0936,13,13.0,13.0,13.0,0.0,0.0
qwen3.5-9b,687,2.1386,2.0903,2.1856,14,14.0,14.0,14.0,0.0,0.0,1.9451,1.911,1.9811,14,14.0,14.0,14.0,0.0,0.0
