model,L1_minus_L3,L1_mean,L1_n_questions,L2_mean,L2_n_questions,L3_mean,L3_n_questions
command-a-03-2025,-0.7619,1.9417,3,2.0904,27,2.7036,199
deepseek-v4-flash,-0.8945,1.95,3,2.0756,27,2.8445,199
gemma-4-31b-it,-0.3116,2.525,3,2.1722,27,2.8366,199
glm-5.1,-0.6534,2.1639,3,2.0568,27,2.8173,199
hermes-3-llama-3.1-405b,-0.1429,2.9,3,2.7954,27,3.0429,199
llada2.1-flash,-0.3391,1.9056,3,1.9247,27,2.2447,199
llama-3.3-70b-instruct,-0.3974,2.3861,3,2.409,27,2.7835,199
llama4-maverick-17b-128e-moe,-0.741,2.1806,3,2.1568,27,2.9216,199
mistral-medium-3.5,-0.4126,2.2639,3,1.9259,27,2.6765,199
qwen3.5-122b-a10b,-0.9419,1.7806,3,1.9068,27,2.7225,199
qwen3.5-397b-a17b-moe,-0.9372,1.9417,3,2.0806,27,2.8789,199
qwen3.5-9b,-0.499,1.7,3,1.7426,27,2.199,199
qwen3.6-27b-fp8,-0.4903,2.1278,3,1.9448,27,2.6181,199
qwen3.6-35b-a3b-q8_0,-0.1302,2.4778,3,2.0333,27,2.608,199
