target,description,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
all_domain_mean_3judge,Unweighted mean of D1-D7 three-judge domain means,total_size_raw,15,0.5021285011017863,0.05647398287155423,0.6142857142857142,0.014833955405976961
all_domain_mean_3judge,Unweighted mean of D1-D7 three-judge domain means,total_size_log10,15,0.6256305761177207,0.012611141114726493,0.6142857142857142,0.014833955405976961
all_domain_mean_3judge,Unweighted mean of D1-D7 three-judge domain means,active_or_dense_raw,15,0.35700450323174865,0.1914591651745209,0.34495098671459,0.20796674471099505
all_domain_mean_3judge,Unweighted mean of D1-D7 three-judge domain means,active_or_dense_log10,15,0.4126837333621825,0.12632743626119808,0.34495098671459,0.20796674471099505
role_weighted_composite_3judge,Role-weighted three-judge composite,total_size_raw,15,0.46235032019131084,0.08269690467693315,0.6035714285714285,0.017200138068795334
role_weighted_composite_3judge,Role-weighted three-judge composite,total_size_log10,15,0.5762928326541037,0.024537534901508777,0.6035714285714285,0.017200138068795334
role_weighted_composite_3judge,Role-weighted three-judge composite,active_or_dense_raw,15,0.33096797901905606,0.22821917602831462,0.37712258133045856,0.1658432175058251
role_weighted_composite_3judge,Role-weighted three-judge composite,active_or_dense_log10,15,0.4112830639801513,0.12774848708173075,0.37712258133045856,0.1658432175058251
d1_mean_3judge,D1 ancient_languages,total_size_raw,15,0.47090284507675745,0.0764434426661622,0.5285714285714286,0.0427972893094504
d1_mean_3judge,D1 ancient_languages,total_size_log10,15,0.6352825376277339,0.010931576842624509,0.5285714285714286,0.0427972893094504
d1_mean_3judge,D1 ancient_languages,active_or_dense_raw,15,0.2224761898376425,0.42547446362414787,0.0929401622236201,0.7418216301177504
d1_mean_3judge,D1 ancient_languages,active_or_dense_log10,15,0.15390394288208017,0.5839413885650367,0.0929401622236201,0.7418216301177504
d2_mean_3judge,D2 biblical_knowledge,total_size_raw,15,0.6100555737325073,0.015736008733836956,0.8178571428571428,0.00019513654706319864
d2_mean_3judge,D2 biblical_knowledge,total_size_log10,15,0.738243034574072,0.0016738576626668443,0.8178571428571428,0.00019513654706319864
d2_mean_3judge,D2 biblical_knowledge,active_or_dense_raw,15,0.4316047362344756,0.10818098227729975,0.38605913539042197,0.15522986585371962
d2_mean_3judge,D2 biblical_knowledge,active_or_dense_log10,15,0.4052668330127934,0.13397636762631918,0.38605913539042197,0.15522986585371962
d3_mean_3judge,D3 patristic_knowledge,total_size_raw,15,0.306856018373221,0.26594231522377926,0.39999999999999997,0.1395951293721447
d3_mean_3judge,D3 patristic_knowledge,total_size_log10,15,0.4557262313351902,0.08778426497590595,0.39999999999999997,0.1395951293721447
d3_mean_3judge,D3 patristic_knowledge,active_or_dense_raw,15,0.28786154214538123,0.2981567761420886,0.3556748515865462,0.19323721827732732
d3_mean_3judge,D3 patristic_knowledge,active_or_dense_log10,15,0.39443384693325345,0.14570405942479034,0.3556748515865462,0.19323721827732732
d4_mean_3judge,D4 early_christian_history,total_size_raw,15,0.24134220028980963,0.38619518126186764,0.22499999999999998,0.42010468690763486
d4_mean_3judge,D4 early_christian_history,total_size_log10,15,0.2323239220976489,0.40472205895873603,0.22499999999999998,0.42010468690763486
d4_mean_3judge,D4 early_christian_history,active_or_dense_raw,15,0.31011566229074805,0.26063501432692693,0.4682754327420859,0.07832728668625465
d4_mean_3judge,D4 early_christian_history,active_or_dense_log10,15,0.4320724572156137,0.10775678598468784,0.4682754327420859,0.07832728668625465
d5_mean_3judge,D5 theological_knowledge,total_size_raw,15,0.11211559448167831,0.6907706157386101,0.03753352705184659,0.8943507316442487
d5_mean_3judge,D5 theological_knowledge,total_size_log10,15,0.05755691505160711,0.8385523494106615,0.03753352705184659,0.8943507316442487
d5_mean_3judge,D5 theological_knowledge,active_or_dense_raw,15,0.14085981756952787,0.6165625454195619,0.029516994633273706,0.9168338110239012
d5_mean_3judge,D5 theological_knowledge,active_or_dense_log10,15,0.06725421001019233,0.811768065224842,0.029516994633273706,0.9168338110239012
d6_mean_3judge,D6 heresiological_knowledge,total_size_raw,15,0.1832818437928702,0.5132149217596452,0.27499999999999997,0.3212111733193767
d6_mean_3judge,D6 heresiological_knowledge,total_size_log10,15,0.19370763910126154,0.4891020123567307,0.27499999999999997,0.3212111733193767
d6_mean_3judge,D6 heresiological_knowledge,active_or_dense_raw,15,0.20650631425653512,0.4602552429245554,0.18230570282325484,0.5155000171644716
d6_mean_3judge,D6 heresiological_knowledge,active_or_dense_log10,15,0.2831026242631778,0.3065709339698757,0.18230570282325484,0.5155000171644716
d7_mean_3judge,D7 marcion_studies,total_size_raw,15,0.34068816574786076,0.21401497833492075,0.4357142857142856,0.10449335704406652
d7_mean_3judge,D7 marcion_studies,total_size_log10,15,0.4194938344121551,0.11957226005142335,0.4357142857142856,0.10449335704406652
d7_mean_3judge,D7 marcion_studies,active_or_dense_raw,15,0.2075689123565687,0.4578986170265898,0.47721198680204935,0.07205263036541529
d7_mean_3judge,D7 marcion_studies,active_or_dense_log10,15,0.3704199227549716,0.1741108436507892,0.47721198680204935,0.07205263036541529
