model,label,size_b,active_or_dense_b,all_domain_mean_3judge,role_weighted_composite_3judge,d1_mean_3judge,d2_mean_3judge,d3_mean_3judge,d4_mean_3judge,d5_mean_3judge,d6_mean_3judge,d7_mean_3judge
hermes-3-llama-3.1-405b,Hermes405,405.0,405.0,2.9166156204906204,2.848307062289562,3.7471380471380473,3.094791666666666,2.486574074074074,2.9476851851851853,2.896888888888889,2.3752314814814817,2.868
llama4-maverick-17b-128e-moe,Llama4,400.0,17.0,2.6367771765271764,2.5780795707070707,3.6375420875420876,2.7159722222222222,1.9837962962962965,2.5148148148148146,2.658888888888889,2.1106481481481483,2.835777777777778
llama-3.3-70b-instruct,Llama70,70.0,70.0,2.6075419071669077,2.5347121254208753,3.5575757575757576,2.519791666666667,2.212037037037037,2.5300925925925926,2.6582222222222223,2.2018518518518517,2.5732222222222223
gemma-4-31b-it,Gemma31,31.0,31.0,2.5988382034632034,2.493180042087542,3.9307239057239056,2.7003472222222222,2.130324074074074,2.3219907407407407,2.824222222222222,2.0481481481481483,2.236111111111111
qwen3.5-397b-a17b-moe,Qwen397,397.0,17.0,2.529840909090909,2.3931041498316503,4.315488215488216,2.75625,1.978009259259259,2.076388888888889,2.6306666666666665,1.9993055555555554,1.952777777777778
glm-5.1,GLM5.1,754.0,754.0,2.5193186026936027,2.3846581397306394,4.149410774410774,2.7572916666666667,1.9000000000000001,2.1995370370370373,2.6544444444444446,1.9803240740740742,1.9942222222222221
deepseek-v4-flash,DeepSeek V4F,284.0,13.0,2.4992053270803267,2.3735723442760945,4.259006734006734,2.748958333333333,1.914351851851852,1.9761574074074073,2.6306666666666665,1.9796296296296296,1.985666666666667
command-a-03-2025,Command A,111.0,111.0,2.4928682058682057,2.3915092045454545,3.7364478114478117,2.5930555555555554,2.0199074074074073,2.2534722222222223,2.7142222222222223,1.9826388888888888,2.150333333333333
qwen3.5-122b-a10b,Qwen122,122.0,10.0,2.418997294372294,2.2874208459595957,4.057828282828283,2.6600694444444444,1.789351851851852,1.9664351851851853,2.657111111111111,1.9824074074074072,1.8197777777777775
qwen3.6-35b-a3b-q8_0,Qwen35,35.0,3.0,2.3947724867724864,2.269290138888889,3.787037037037037,2.589583333333333,1.9743055555555555,2.0578703703703707,2.6733333333333333,1.9680555555555554,1.7132222222222224
qwen3.6-27b-fp8,Qwen27,27.0,27.0,2.384080868205868,2.2573508417508417,3.8496632996632996,2.6482638888888888,1.8314814814814815,2.0430555555555556,2.5853333333333333,1.9608796296296296,1.769888888888889
mistral-medium-3.5,Mistral128,128.0,128.0,2.3823287037037035,2.2603600925925926,4.0,2.638541666666667,1.7597222222222222,1.995138888888889,2.4179999999999997,1.9280092592592593,1.9368888888888887
gemma-4-12b-it-q8_0-llamacpp-a6000,Gemma12,12.0,12.0,2.2796060606060604,2.2267145791245793,2.326094276094276,2.3354166666666667,1.6324074074074073,2.45625,2.9406666666666665,2.1907407407407407,2.0756666666666668
llada2.1-flash,LLaDA100,100.0,100.0,2.1917665945165945,2.105347163299663,2.9375420875420875,2.373611111111111,1.7400462962962964,2.129861111111111,2.4715555555555557,1.9270833333333333,1.7626666666666666
qwen3.5-9b,Qwen9,9.0,9.0,2.0814486531986534,1.9910898569023572,2.9807239057239054,2.19375,1.5810185185185184,1.9083333333333334,2.374888888888889,1.8662037037037038,1.6652222222222222
