model,question_groups,mean_variance,mean_cv,median_cv,high_cv_questions_cv_gt_0_15
command-a-03-2025,229,0.14229,0.1094,0.0712,47
deepseek-v4-flash,229,0.0709,0.0733,0.0535,30
gemma-4-31b-it,229,0.11006,0.086,0.0595,35
glm-5.1,229,0.08972,0.0833,0.0591,33
hermes-3-llama-3.1-405b,229,0.26286,0.1369,0.1017,85
llada2.1-flash,229,0.06187,0.0889,0.0702,42
llama-3.3-70b-instruct,229,0.1459,0.1055,0.0753,50
llama4-maverick-17b-128e-moe,229,0.17445,0.1105,0.0786,63
mistral-medium-3.5,229,0.08488,0.0845,0.0639,34
qwen3.5-122b-a10b,229,0.09965,0.0937,0.0596,49
qwen3.5-397b-a17b-moe,229,0.06514,0.0688,0.0455,28
qwen3.5-9b,229,0.10993,0.1114,0.0918,57
qwen3.6-27b-fp8,229,0.07858,0.091,0.0675,36
qwen3.6-35b-a3b-q8_0,229,0.07358,0.0999,0.0654,35
