model,n_question_means,mean,median,sd,skewness,kurtosis_fisher,min,max,pct_below_2,pct_3_plus,pct_4_plus
command-a-03-2025,229,2.6213,2.425,0.8578,0.7316,-0.4048,1.2,4.7833,30.57,28.82,8.73
deepseek-v4-flash,229,2.7421,2.35,1.0176,0.686,-0.9249,1.2,4.95,27.95,32.31,19.21
gemma-4-31b-it,229,2.7542,2.4667,0.8741,0.7057,-0.6294,1.2,4.8083,16.16,32.75,13.97
glm-5.1,229,2.719,2.3333,0.9828,0.6414,-0.9724,1.2,4.8083,30.57,33.19,18.78
hermes-3-llama-3.1-405b,229,3.0119,2.8917,0.7509,0.3648,-0.664,1.2,4.875,3.93,46.29,12.23
llada2.1-flash,229,2.2025,2.05,0.64,0.9817,0.5764,1.2,4.3833,45.41,13.54,1.75
llama-3.3-70b-instruct,229,2.7342,2.625,0.7376,0.675,-0.2741,1.3333,4.7417,14.41,31.0,8.3
llama4-maverick-17b-128e-moe,229,2.8218,2.7167,0.7654,0.3558,-0.5451,1.2,4.7833,10.04,36.24,9.61
mistral-medium-3.5,229,2.5826,2.2167,0.9842,0.7212,-0.7268,1.2,4.8083,41.05,29.26,12.66
qwen3.5-122b-a10b,229,2.614,2.1833,1.002,0.6456,-0.9039,0.9917,4.8667,37.55,31.0,16.16
qwen3.5-397b-a17b-moe,229,2.7725,2.325,1.0423,0.6822,-1.0099,1.2,4.9083,21.83,31.44,23.14
qwen3.5-9b,229,2.1386,1.9,0.6509,0.8838,0.0058,1.1333,4.125,54.15,13.54,0.44
qwen3.6-27b-fp8,229,2.5323,2.1167,0.9336,0.7482,-0.6428,0.7917,4.6833,38.86,26.64,11.35
qwen3.6-35b-a3b-q8_0,229,2.5386,2.2167,0.8989,0.5801,-0.5973,0.4,4.55,38.43,28.38,9.17
