model,level,n_rows,pearson_r,p_value
command-a-03-2025,L1,9,0.9398,0.00016603
command-a-03-2025,L2,81,-0.1208,0.2825949
command-a-03-2025,L3,597,-0.6523,0.0
deepseek-v4-flash,L1,9,0.1283,0.74228159
deepseek-v4-flash,L2,81,0.1873,0.09402263
deepseek-v4-flash,L3,597,-0.7061,0.0
gemma-4-31b-it,L1,9,0.6403,0.06323841
gemma-4-31b-it,L2,81,0.1249,0.26640116
gemma-4-31b-it,L3,597,-0.6366,0.0
glm-5.1,L1,9,0.8134,0.00765743
glm-5.1,L2,81,-0.1454,0.19513888
glm-5.1,L3,597,-0.6819,0.0
hermes-3-llama-3.1-405b,L1,9,0.2058,0.59524777
hermes-3-llama-3.1-405b,L2,81,-0.0577,0.60869616
hermes-3-llama-3.1-405b,L3,597,-0.3846,0.0
llada2.1-flash,L1,9,0.1021,0.79384626
llada2.1-flash,L2,81,-0.0641,0.56959269
llada2.1-flash,L3,597,-0.4889,0.0
llama-3.3-70b-instruct,L1,9,0.2729,0.47745453
llama-3.3-70b-instruct,L2,81,0.034,0.76336948
llama-3.3-70b-instruct,L3,597,-0.5185,0.0
llama4-maverick-17b-128e-moe,L1,9,0.2067,0.59367965
llama4-maverick-17b-128e-moe,L2,81,-0.0343,0.76138685
llama4-maverick-17b-128e-moe,L3,597,-0.0979,0.01673265
mistral-medium-3.5,L1,9,-0.3488,0.35762345
mistral-medium-3.5,L2,81,-0.1188,0.29075536
mistral-medium-3.5,L3,597,-0.7363,0.0
qwen3.5-122b-a10b,L1,9,0.4477,0.22684375
qwen3.5-122b-a10b,L2,81,-0.0688,0.54146122
qwen3.5-122b-a10b,L3,597,-0.7543,0.0
qwen3.5-397b-a17b-moe,L1,9,0.6237,0.07269634
qwen3.5-397b-a17b-moe,L2,81,0.0259,0.81842532
qwen3.5-397b-a17b-moe,L3,597,-0.7462,0.0
qwen3.5-9b,L1,9,0.4719,0.19967501
qwen3.5-9b,L2,81,-0.27,0.01476768
qwen3.5-9b,L3,597,-0.2797,0.0
qwen3.6-27b-fp8,L1,9,-0.3528,0.35176374
qwen3.6-27b-fp8,L2,81,0.0326,0.7723269
qwen3.6-27b-fp8,L3,597,-0.6204,0.0
qwen3.6-35b-a3b-q8_0,L1,9,-0.901,0.00090997
qwen3.6-35b-a3b-q8_0,L2,81,-0.182,0.1039129
qwen3.6-35b-a3b-q8_0,L3,597,-0.6774,0.0
