model,n,deepseek_judge_mean,cc_baseline_mean,deepseek_minus_cc
llada2.1-flash,687,2.4190684133915576,2.2025109170305677,0.21655749636098998
command-a-03-2025,687,2.7959970887918484,2.621288209606987,0.17470887918486122
qwen3.5-9b,687,2.312154294032023,2.138646288209607,0.17350800582241632
llama-3.3-70b-instruct,687,2.8751819505094613,2.734170305676856,0.1410116448326053
hermes-3-llama-3.1-405b,687,3.1475982532751092,3.0118631732168852,0.135735080058224
gemma-4-31b-it,687,2.8897379912663754,2.754184861717613,0.13555312954876264
qwen3.6-27b-fp8,687,2.6597525473071326,2.532314410480349,0.1274381368267834
mistral-medium-3.5,687,2.693668122270742,2.58264192139738,0.11102620087336224
glm-5.1,687,2.814774381368268,2.719032023289665,0.09574235807860276
qwen3.5-122b-a10b,687,2.704439592430859,2.61401018922853,0.09042940320232873
qwen3.6-35b-a3b-q8_0,687,2.624308588064047,2.5385735080058223,0.08573508005822461
llama4-maverick-17b-128e-moe,687,2.8772197962154293,2.8217612809315864,0.055458515283842935
deepseek-v4-flash,687,2.782241630276565,2.742139737991266,0.04010189228529892
qwen3.5-397b-a17b-moe,687,2.8080786026200877,2.7724890829694324,0.035589519650655266
